0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:42 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:42 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:49:42 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5366
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:50:35 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:50:38 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:50:40 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:50:40 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:50:57 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:51:00 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:51:00 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:51:44 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5370
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:51:49 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:51:49 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:52:21 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5377
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:52:24 -0300] "DELETE /InvestimentosWEB/carteirarest?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:52:24 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:52:29 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5076
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:57:32 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5041
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:57:35 -0300] "DELETE /InvestimentosWEB/carteirarest?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:57:35 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:58:19 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:58:22 -0300] "DELETE /InvestimentosWEB/carteirarest?id=6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:58:33 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:58:53 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [29/Sep/2020:09:58:55 -0300] "DELETE /InvestimentosWEB/carteirarest?id=2 HTTP/1.1" 200 -
